datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-06-01 11:33:00,95.1,NFO,15-JUN-2023,96.15,94.5,96.15,148650,Options,Call,NIFTY,18700.0,2250.0
2023-06-01 11:34:00,96.2,NFO,15-JUN-2023,96.2,94.7,95.1,148650,Options,Call,NIFTY,18700.0,250.0
2023-06-01 11:35:00,95.0,NFO,15-JUN-2023,96.2,95.0,96.2,148650,Options,Call,NIFTY,18700.0,500.0
2023-06-01 11:36:00,95.35,NFO,15-JUN-2023,95.55,95.0,95.0,149800,Options,Call,NIFTY,18700.0,250.0
2023-06-01 11:37:00,95.75,NFO,15-JUN-2023,95.8,95.35,95.35,149800,Options,Call,NIFTY,18700.0,550.0
2023-06-01 11:38:00,96.0,NFO,15-JUN-2023,96.0,95.75,95.75,149800,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:39:00,95.9,NFO,15-JUN-2023,96.0,95.45,96.0,149900,Options,Call,NIFTY,18700.0,300.0
2023-06-01 11:40:00,94.55,NFO,15-JUN-2023,95.9,94.55,95.9,149900,Options,Call,NIFTY,18700.0,2400.0
2023-06-01 11:41:00,94.55,NFO,15-JUN-2023,94.95,94.55,94.55,149900,Options,Call,NIFTY,18700.0,400.0
2023-06-01 11:42:00,95.7,NFO,15-JUN-2023,95.7,94.4,94.55,152400,Options,Call,NIFTY,18700.0,600.0
2023-06-01 11:43:00,95.05,NFO,15-JUN-2023,95.7,95.05,95.7,152400,Options,Call,NIFTY,18700.0,200.0
2023-06-01 11:44:00,95.0,NFO,15-JUN-2023,95.05,95.0,95.05,152400,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:45:00,94.1,NFO,15-JUN-2023,95.5,94.05,95.0,153050,Options,Call,NIFTY,18700.0,1750.0
2023-06-01 11:46:00,97.0,NFO,15-JUN-2023,97.0,94.1,94.1,153050,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:47:00,96.25,NFO,15-JUN-2023,97.0,96.25,97.0,153050,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:48:00,97.25,NFO,15-JUN-2023,97.25,96.25,96.25,153000,Options,Call,NIFTY,18700.0,450.0
2023-06-01 11:49:00,97.0,NFO,15-JUN-2023,97.4,96.55,97.25,153000,Options,Call,NIFTY,18700.0,850.0
2023-06-01 11:50:00,94.8,NFO,15-JUN-2023,97.0,94.8,97.0,153000,Options,Call,NIFTY,18700.0,1300.0
2023-06-01 11:51:00,92.2,NFO,15-JUN-2023,94.8,91.5,94.8,153800,Options,Call,NIFTY,18700.0,3900.0
2023-06-01 11:52:00,97.5,NFO,15-JUN-2023,97.5,91.95,92.15,153800,Options,Call,NIFTY,18700.0,2650.0
2023-06-01 11:53:00,95.1,NFO,15-JUN-2023,99.05,95.1,99.0,153800,Options,Call,NIFTY,18700.0,1300.0
2023-06-01 11:54:00,95.5,NFO,15-JUN-2023,95.5,94.9,95.1,156150,Options,Call,NIFTY,18700.0,300.0
2023-06-01 11:55:00,94.85,NFO,15-JUN-2023,95.55,94.05,95.5,156150,Options,Call,NIFTY,18700.0,750.0
2023-06-01 11:56:00,94.4,NFO,15-JUN-2023,94.85,94.4,94.85,156150,Options,Call,NIFTY,18700.0,300.0
2023-06-01 11:57:00,93.8,NFO,15-JUN-2023,93.8,93.0,93.3,156950,Options,Call,NIFTY,18700.0,150.0
2023-06-01 11:58:00,94.0,NFO,15-JUN-2023,94.0,92.85,93.8,156950,Options,Call,NIFTY,18700.0,250.0
2023-06-01 11:59:00,94.45,NFO,15-JUN-2023,94.45,93.65,94.0,156950,Options,Call,NIFTY,18700.0,150.0
2023-06-01 12:00:00,93.7,NFO,15-JUN-2023,94.45,93.0,94.45,157300,Options,Call,NIFTY,18700.0,250.0
2023-06-01 12:01:00,94.65,NFO,15-JUN-2023,94.65,93.7,93.7,157300,Options,Call,NIFTY,18700.0,100.0
2023-06-01 12:02:00,94.65,NFO,15-JUN-2023,94.65,94.65,94.65,157300,Options,Call,NIFTY,18700.0,0.0
2023-06-01 12:03:00,92.9,NFO,15-JUN-2023,94.65,92.9,94.65,157500,Options,Call,NIFTY,18700.0,2000.0
2023-06-01 12:04:00,89.4,NFO,15-JUN-2023,92.9,85.2,92.9,157500,Options,Call,NIFTY,18700.0,13950.0
2023-06-01 12:05:00,90.9,NFO,15-JUN-2023,91.1,87.35,89.75,157500,Options,Call,NIFTY,18700.0,12100.0
2023-06-01 12:06:00,90.9,NFO,15-JUN-2023,90.9,89.35,90.3,163550,Options,Call,NIFTY,18700.0,4200.0
2023-06-01 12:07:00,89.0,NFO,15-JUN-2023,91.0,89.0,90.0,163550,Options,Call,NIFTY,18700.0,700.0
2023-06-01 12:08:00,89.0,NFO,15-JUN-2023,89.0,89.0,89.0,163550,Options,Call,NIFTY,18700.0,0.0
2023-06-01 12:09:00,86.05,NFO,15-JUN-2023,89.0,86.05,89.0,166100,Options,Call,NIFTY,18700.0,4450.0
2023-06-01 12:10:00,86.05,NFO,15-JUN-2023,86.05,86.05,86.05,166100,Options,Call,NIFTY,18700.0,0.0
2023-06-01 12:11:00,87.0,NFO,15-JUN-2023,87.0,86.05,86.05,166100,Options,Call,NIFTY,18700.0,200.0
2023-06-01 12:12:00,87.95,NFO,15-JUN-2023,87.95,87.0,87.0,167200,Options,Call,NIFTY,18700.0,550.0
2023-06-01 12:13:00,87.1,NFO,15-JUN-2023,87.95,86.95,87.95,167200,Options,Call,NIFTY,18700.0,600.0
2023-06-01 12:14:00,87.2,NFO,15-JUN-2023,87.9,86.65,87.1,167200,Options,Call,NIFTY,18700.0,1150.0
2023-06-01 12:15:00,86.8,NFO,15-JUN-2023,87.45,86.15,87.2,167700,Options,Call,NIFTY,18700.0,4000.0
2023-06-01 12:16:00,86.35,NFO,15-JUN-2023,87.0,85.35,86.85,167700,Options,Call,NIFTY,18700.0,7800.0
2023-06-01 12:17:00,86.65,NFO,15-JUN-2023,87.5,85.2,86.35,167700,Options,Call,NIFTY,18700.0,4100.0
2023-06-01 12:18:00,89.65,NFO,15-JUN-2023,89.65,86.65,86.65,173050,Options,Call,NIFTY,18700.0,750.0
2023-06-01 12:19:00,88.95,NFO,15-JUN-2023,89.65,88.7,89.65,173050,Options,Call,NIFTY,18700.0,650.0
2023-06-01 12:20:00,89.05,NFO,15-JUN-2023,89.4,88.8,88.95,173050,Options,Call,NIFTY,18700.0,700.0
2023-06-01 12:21:00,88.95,NFO,15-JUN-2023,88.95,88.2,88.75,173500,Options,Call,NIFTY,18700.0,400.0
2023-06-01 12:22:00,89.4,NFO,15-JUN-2023,89.5,88.95,88.95,173500,Options,Call,NIFTY,18700.0,750.0
2023-06-01 12:23:00,89.0,NFO,15-JUN-2023,90.4,89.0,89.4,173500,Options,Call,NIFTY,18700.0,550.0
2023-06-01 12:24:00,89.5,NFO,15-JUN-2023,89.6,89.0,89.0,180900,Options,Call,NIFTY,18700.0,20900.0
2023-06-01 12:25:00,89.85,NFO,15-JUN-2023,90.35,89.5,90.35,180900,Options,Call,NIFTY,18700.0,450.0
2023-06-01 12:26:00,90.0,NFO,15-JUN-2023,90.45,89.85,89.85,180900,Options,Call,NIFTY,18700.0,850.0
2023-06-01 12:27:00,89.35,NFO,15-JUN-2023,91.2,89.35,90.0,184950,Options,Call,NIFTY,18700.0,600.0
2023-06-01 12:28:00,89.6,NFO,15-JUN-2023,89.85,89.35,89.35,184950,Options,Call,NIFTY,18700.0,300.0
2023-06-01 12:29:00,89.65,NFO,15-JUN-2023,89.65,88.2,89.6,184950,Options,Call,NIFTY,18700.0,850.0
2023-06-01 12:30:00,88.75,NFO,15-JUN-2023,89.65,88.4,89.65,184700,Options,Call,NIFTY,18700.0,2350.0
2023-06-01 12:31:00,88.65,NFO,15-JUN-2023,89.65,88.3,88.75,184700,Options,Call,NIFTY,18700.0,1450.0
2023-06-01 12:32:00,87.8,NFO,15-JUN-2023,89.75,87.55,88.65,184700,Options,Call,NIFTY,18700.0,3450.0
2023-06-01 12:33:00,89.1,NFO,15-JUN-2023,89.8,87.65,87.8,185700,Options,Call,NIFTY,18700.0,750.0
2023-06-01 12:34:00,89.5,NFO,15-JUN-2023,89.5,89.0,89.1,185700,Options,Call,NIFTY,18700.0,150.0
2023-06-01 12:35:00,92.25,NFO,15-JUN-2023,92.25,89.5,89.5,185700,Options,Call,NIFTY,18700.0,650.0
2023-06-01 12:36:00,92.25,NFO,15-JUN-2023,92.25,92.25,92.25,185700,Options,Call,NIFTY,18700.0,0.0
2023-06-01 12:37:00,91.8,NFO,15-JUN-2023,92.25,91.8,92.25,185750,Options,Call,NIFTY,18700.0,350.0
2023-06-01 12:38:00,91.15,NFO,15-JUN-2023,92.05,91.15,92.0,185750,Options,Call,NIFTY,18700.0,1300.0
2023-06-01 12:39:00,91.0,NFO,15-JUN-2023,92.6,91.0,91.15,185250,Options,Call,NIFTY,18700.0,1500.0
2023-06-01 12:40:00,90.65,NFO,15-JUN-2023,91.05,90.15,91.0,185250,Options,Call,NIFTY,18700.0,1900.0
