,close,datetime,exchange_code,high,low,open,stock_code,volume
196,577.85,2024-04-19 12:31:00,NSE,577.85,577.45,577.45,ASAIND,1
197,578.0,2024-04-19 12:32:00,NSE,578.0,578.0,578.0,ASAIND,6
198,578.0,2024-04-19 12:33:00,NSE,578.0,578.0,578.0,ASAIND,1
199,578.0,2024-04-19 12:34:00,NSE,578.0,578.0,578.0,ASAIND,0
200,577.95,2024-04-19 12:35:00,NSE,577.95,577.95,577.95,ASAIND,1
201,578.0,2024-04-19 12:36:00,NSE,578.0,577.45,577.95,ASAIND,32
202,577.2,2024-04-19 12:37:00,NSE,578.0,577.2,578.0,ASAIND,107
203,577.55,2024-04-19 12:38:00,NSE,577.55,577.2,577.2,ASAIND,5
204,577.55,2024-04-19 12:39:00,NSE,577.55,577.55,577.55,ASAIND,0
205,576.45,2024-04-19 12:40:00,NSE,577.55,576.45,577.55,ASAIND,302
206,577.7,2024-04-19 12:41:00,NSE,577.7,576.45,576.45,ASAIND,803
207,577.7,2024-04-19 12:42:00,NSE,577.7,577.7,577.7,ASAIND,0
208,577.7,2024-04-19 12:43:00,NSE,577.7,577.7,577.7,ASAIND,1
209,578.15,2024-04-19 12:44:00,NSE,578.15,577.7,577.7,ASAIND,321
210,578.9,2024-04-19 12:45:00,NSE,578.9,578.15,578.15,ASAIND,1
211,579.7,2024-04-19 12:46:00,NSE,579.75,578.9,578.9,ASAIND,126
212,579.05,2024-04-19 12:47:00,NSE,579.8,579.05,579.7,ASAIND,45
213,579.75,2024-04-19 12:48:00,NSE,579.75,579.05,579.05,ASAIND,23
214,579.75,2024-04-19 12:49:00,NSE,579.75,579.75,579.75,ASAIND,0
215,579.8,2024-04-19 12:50:00,NSE,579.8,579.75,579.75,ASAIND,61
216,579.8,2024-04-19 12:51:00,NSE,579.8,579.8,579.8,ASAIND,1
217,579.95,2024-04-19 12:52:00,NSE,579.95,579.8,579.8,ASAIND,100
218,579.95,2024-04-19 12:53:00,NSE,579.95,579.95,579.95,ASAIND,1
219,579.1,2024-04-19 12:54:00,NSE,579.4,579.1,579.4,ASAIND,146
220,579.55,2024-04-19 12:55:00,NSE,579.55,579.1,579.1,ASAIND,1
221,579.75,2024-04-19 12:56:00,NSE,579.75,579.55,579.55,ASAIND,1
222,579.1,2024-04-19 12:57:00,NSE,579.75,579.1,579.75,ASAIND,13
223,579.6,2024-04-19 12:58:00,NSE,579.6,579.1,579.1,ASAIND,1
224,578.4,2024-04-19 12:59:00,NSE,579.6,578.4,579.6,ASAIND,159
225,579.05,2024-04-19 13:00:00,NSE,579.05,579.05,579.05,ASAIND,1
